Titulo Principal,Titulo Secundario,Autor,N° Ref
The Pilgrim's Progress,,John Bunyan Every Child Can Read by John Bunyan,81
Minute Mysteries [Detectograms],,H. A.  Ripley,81
"What Men Live By, and Other Tales",,graf Leo Tolstoy,81
Omens and Superstitions of Southern India,,Edgar Thurston,80
"Personal Memoirs of U. S. Grant, Complete",,Ulysses S.  Grant,80
The Subjection of Women,,John Stuart Mill,80
On the Nature of Things,,Titus Lucretius Carus,80
The Princess and the Goblin,,George MacDonald,80
The Vicar of Wakefield,,Oliver Goldsmith,80
Filipino Popular Tales,,,79
The Moon and Sixpence,,W. Somerset  Maugham,79
Short Stories,,Fyodor Dostoyevsky,79
Laws,,Plato,79
Anne of Avonlea,,L. M.  Montgomery,79
"""Everyman,"" with other interludes, including eight miracle plays",,,79
Les liaisons dangereuses,,Choderlos de Laclos,79
"The Country of the Blind, and Other Stories",,H. G.  Wells,79
The Gentlemen's Book of Etiquette and Manual of Politeness,,Cecil B. Hartley,79
Letters of Abelard and Heloise,,Peter Abelard and Héloïse,79
Kalevala : the Epic Poem of Finland — Complete,,,79
The Life of Lazarillo de Tormes,,Anonymous,79
Plutarch's Morals,,Plutarch,78
The First Six Books of the Elements of Euclid,,John Casey and Euclid,78
The Memoirs of Sherlock Holmes,,Arthur Conan Doyle,78
The innocence of Father Brown,,G. K.  Chesterton,78
Silas Marner,,George Eliot,78
Life in the Iron-Mills,The Korl Woman,Rebecca Harding Davis,78
The Return of Sherlock Holmes,,Arthur Conan Doyle,77
The Art of War in the Middle Ages A.D. 378-1515,,Charles Oman,77
Dracula's Guest,,Bram Stoker,77
A Classification and Subject Index for Cataloguing and Arranging the Books and Pamphlets of a Librar,,,77
The Mysteries of Udolpho,,Ann Ward Radcliffe,77
The Imitation of Christ,,à Kempis Thomas,77
Biographia Literaria,,Samuel Taylor Coleridge,77
Cane,,Jean Toomer,77
Martin Eden,,Jack London,77
The Raven,,Edgar Allan Poe,76
1811 Dictionary of the Vulgar Tongue,,Francis Grose,76
"The Memoirs of the Conquistador Bernal Diaz del Castillo, Vol 1",,Bernal Díaz del Castillo,76
A General History of the Pyrates:,,Daniel Defoe,76
Sister Carrie: A Novel,,Theodore Dreiser,75
Ritual of the Order of the Eastern Star,,,75
The Kybalion,,Three Initiates,75
Pragmatism: A New Name for Some Old Ways of Thinking,,William James,74
The Willows,,Algernon Blackwood,74
Villette,,Charlotte Brontë,74
The Art of War,,active 6th century B.C. Sunzi,74
The Letters of Wolfgang Amadeus Mozart — Volume 01,,Wolfgang Amadeus Mozart,74
El arte de amar,,Ovid,74
The Poems of Sappho: An Interpretative Rendition into English,,Sappho,74
Myths of the Cherokee,,James Mooney,74
Darkwater: Voices from Within the Veil,,W. E. B.  Du Bois,73
"The Man-Eaters of Tsavo, and Other East African Adventures",,J. H.  Patterson,73
John F. Kennedy's Inaugural Address,,John F.  Kennedy,73
Sons and Lovers,,D. H.  Lawrence,73
Memoirs of Extraordinary Popular Delusions and the Madness of Crowds,,Charles Mackay,73
"Great short stories, Volume 2",,,73
The Tale of Genji,,Murasaki Shikibu,73
Language of Flowers,,Kate Greenaway,73
The Essays of Arthur Schopenhauer; Studies in Pessimism,,Arthur Schopenhauer,72
The Romantic Composers,,Daniel Gregory Mason,72
The Great God Pan,,Arthur Machen,72
An Enquiry Concerning the Principles of Morals,,David Hume,72
Friesland,,Jac. P.  Thijsse,72
Cuentos de Amor de Locura y de Muerte,,Horacio Quiroga,72
Roughing It,,Mark Twain,72
The Man Who Was Thursday: A Nightmare,,G. K.  Chesterton,72
A Tramp Abroad,,Mark Twain,72
"The Forme of Cury: A Roll of Ancient English Cookery Compiled, about A.D. 1390",,Samuel Pegge,72
Japanese Fairy Tales,,Yei Theodora Ozaki,72
El árbol de la ciencia: novela,,Pío Baroja,72
Japanese Girls and Women,,Alice Mabel Bacon,72
Far from the Madding Crowd,,Thomas Hardy,72
"The Mide'wiwin or ""Grand Medicine Society"" of the Ojibwa",,Walter James Hoffman,72
Arms and the Man,,Bernard Shaw,71
Zimmerblattpflanzen,,Udo Dammer,71
Laura Middleton; Her Brother and her Lover,,Anonymous,71
"The Bible, Douay-Rheims, Complete",,,71
Essays of Schopenhauer,,Arthur Schopenhauer,71
The Sailor's Word-Book,,W. H.  Smyth,71
Daisy Miller: A Study,,Henry James,71
The Best American Humorous Short Stories,,,71
Man and Superman: A Comedy and a Philosophy,,Bernard Shaw,71
Belinda of the Red Cross,,Robert W. Hamilton,71
Essais de Montaigne,,Michel de Montaigne,71
The Apostolic Tradition of Hippolytus,,Antipope Hippolytus,71
"Lineage, Life and Labors of José Rizal, Philippine Patriot",,Austin Craig,70
A Princess of Mars,,Edgar Rice Burroughs,70
Tarzan of the Apes,,Edgar Rice Burroughs,70
Justice,,John Galsworthy,70
"Eve's Diary, Complete",,Mark Twain,70
"The City of God, Volume II",,Bishop of Hippo Saint Augustine,70
Kun meidän kaivosta vesi loppuu :,,Maila Talvio,70
El libro de las mil noches y una noche; t. 1,,Anonymous,70
"The Queen of Spades, and other stories",,Aleksandr Sergeevich Pushkin,69
Cicero's Tusculan Disputations,,Marcus Tullius Cicero,69
Industrial Arts Design,,William H.  Varnum,69
Mrs. Spring Fragrance,,Sui Sin Far,69
The Post Office,,Rabindranath Tagore,69
The Secret Garden,,Frances Hodgson Burnett,69
An Account of Egypt,,Herodotus,69
The Awakening of Spring: A Tragedy of Childhood,,Frank Wedekind,68
"The Forsyte Saga, Volume I.",,John Galsworthy,68
The Blue Fairy Book,,Andrew Lang,68
Erewhon,Over the Range,Samuel Butler,68
Anne's House of Dreams,,L. M.  Montgomery,68
The Lifted Veil,,George Eliot,68
Lord Jim,,Joseph Conrad,68
Faust: Eine Tragödie [erster Teil],,Johann Wolfgang von Goethe,68
Kwaidan: Stories and Studies of Strange Things,,Lafcadio Hearn,68
"The Battle of the Books, and other Short Pieces",,Jonathan Swift,68
The Sport of the Gods,,Paul Laurence Dunbar,68
Der Zauberberg. Erster Band,,Thomas Mann,68
The Origin of Species,,Means of Natural Selection by Charles Darwin,68
"The Works of the Right Honourable Edmund Burke, Vol. 01",,Edmund Burke,67
A Complete Guide to Heraldry,,Arthur Charles Fox-Davies,67
The Man in the Brown Suit,,Agatha Christie,67
Canada West,,,67
The Germany and the Agricola of Tacitus,,Cornelius Tacitus,67
Micrographia,,Robert Hooke,67
Aeneidos,,Virgil,67
"How to Listen to Music, 7th ed.",,Henry Edward Krehbiel,67
Howards End,,E. M.  Forster,67
"The Bet, and other stories",,Anton Pavlovich Chekhov,67
"How to study ""The best short stories"" :",,Blanche Colton Williams,67
The Legends of King Arthur and His Knights,,Sir James Knowles and Sir Thomas Malory,67
The Hairy Ape,,Eugene O'Neill,67
Lady Chatterley's lover,,D. H.  Lawrence,67
Le Morte d'Arthur: Volume 2,,Sir Thomas Malory,67
The Essays of Arthur Schopenhauer; Counsels and Maxims,,Arthur Schopenhauer,67
Tamburlaine the Great — Part 1,,Christopher Marlowe,66
"The Memoirs of Jacques Casanova de Seingalt, 1725-1798. Complete",,Giacomo Casanova,66
Plays,,"Anton Chekhov, Second Series by Anton Pavlovich Chekhov",66
The Canterville Ghost,,Oscar Wilde,66
Chess Fundamentals,,José Raúl Capablanca,66
An Ideal Husband,,Oscar Wilde,66
Sonnets from the Portuguese,,Elizabeth Barrett Browning,66
"Ancient Nahuatl Poetry, Containing the Nahuatl Text of XXVII Ancient Mexican Poems",,Brinton,66
Ghosts,,Henrik Ibsen,66
Cyropaedia: The Education of Cyrus,,Xenophon,66
Entretiens / Interviews / Entrevistas,,Marie Lebert,66
The Portrait of a Lady — Volume 1,,Henry James,66
The Kādambarī of Bāṇa,,Bāṇa‏ and Bhūṣaṇabhaṭṭa,66
The International Jew : The World's Foremost Problem,,Anonymous,65
Shakespeare's Sonnets,,William Shakespeare,65
The mystery of the Blue Train,,Agatha Christie,65
The Secret of Chimneys,,Agatha Christie,65
Sonnets and madrigals of Michelangelo Buonarroti,,Michelangelo Buonarroti,65
"The Celestial Omnibus, and Other Stories",,E. M.  Forster,65
What Is Art?,,graf Leo Tolstoy,65
Dracula,,Bram Stoker,65
Considerations on Representative Government,,John Stuart Mill,65
Confessions of an English Opium-Eater,,Thomas De Quincey,65
The Discoverie of Witchcraft,,Reginald Scot,65
Demonology and Devil-lore,,Moncure Daniel Conway,64
The Diary of Samuel Pepys — Complete,,Samuel Pepys,64
中國十大禁書之國色天香,,active 16th century Jingsuo Wu,64
In our time,,Ernest Hemingway,64
"Joseph Andrews, Vol. 1",,Henry Fielding,64
"De Re Metallica, Translated from the First Latin Edition of 1556",,Georg Agricola,64
English Literature,,William J.  Long,64
Gargantua and Pantagruel,,François Rabelais,64
Poems and Songs of Robert Burns,,Robert Burns,64
English-Esperanto Dictionary,,C. F.  Hayes and J. C.  O'Connor,64
English Fairy Tales,,,63
Hevosmiehiä :,,Väinö Kataja,63
The Narrative of Arthur Gordon Pym of Nantucket,,Edgar Allan Poe,63
Soeur Thérèse de l'Enfant-Jésus et de la Sainte Face,,Saint de Lisieux Thérèse,63
The Golden Bough: A Study of Magic and Religion,,James George Frazer,63
Nathan the Wise; a dramatic poem in five acts,,Gotthold Ephraim Lessing,63
Timaeus,,Plato,63
Palmistry for All,,Cheiro,63
English Synonyms and Antonyms,,James Champlin Fernald,63
Every Man in His Humor,,Ben Jonson,63
The Secret Agent: A Simple Tale,,Joseph Conrad,62
She,,H. Rider  Haggard,62
"The Poems of John Donne, Volume 1",,John Donne,62
Stories from Tagore,,Rabindranath Tagore,62
Jude the Obscure,,Thomas Hardy,62
Micromegas,,Voltaire,62
"The Works of Edgar Allan Poe, The Raven Edition",,Edgar Allan Poe,62
The Secret Sharer,,Joseph Conrad,62
Don Juan Tenorio,,José Zorrilla,62
The Playboy of the Western World: A Comedy in Three Acts,,J. M.  Synge,62
Relativity : the Special and General Theory,,Albert Einstein,62
Ion,,Plato,62
The Fortunes and Misfortunes of the Famous Moll Flanders,,Daniel Defoe,62
The Will to Power: An Attempted Transvaluation of All Values. Book III and IV,,Nietzsche,62
"The Life and Opinions of Tristram Shandy, Gentleman",,Laurence Sterne,62
Thought-Forms,,Annie Besant and C. W.  Leadbeater,62
The Practice of the Presence of God,,Brother of the Resurrection Lawrence,62
Tartuffe,The Hypocrite,Molière,61
Northern Nut Growers Association Report of the Proceedings at the 44th Annual Meeting,,,61
Half a Man: The Status of the Negro in New York,,Mary White Ovington,61
The Varieties of Religious Experience: A Study in Human Nature,,William James,61
The Egyptian Book of the dead,,,61
Contes Français,,,61
The Analects of Confucius,,Confucius,61
Maggie: A Girl of the Streets,,Stephen Crane,61
Commentary on the Epistle to the Galatians,,Martin Luther,61
"Right Ho, Jeeves",,P. G.  Wodehouse,61
"Letters to His Son, Complete",,Earl of Philip Dormer Stanhope Chesterfield,61
"Hesiod, the Homeric Hymns, and Homerica",,Hesiod,61
King Solomon's Mines,,H. Rider  Haggard,61
Checklist,,,61
The House of the Seven Gables,,Nathaniel Hawthorne,61
Protagoras,,Plato,61
How to Live on 24 Hours a Day,,Arnold Bennett,60
I. Beowulf: an Anglo-Saxon poem. II. The fight at Finnsburh: a fragment.,,,60
Second Variety,,Philip K. Dick,60
"Ars Amatoria; or, The Art Of Love",,Ovid,60
"Ang Liham ni Dr. Jose Rizal sa mga Kadalagahan sa Malolos, Bulakan",,José Rizal,60
The Birds,,Aristophanes,60
The Flying Dutchman,,Richard Wagner,60
Boy Scouts Handbook,,Boy Scouts of America,60
"The Mantle, and Other Stories",,Nikolai Vasilevich Gogol,60
Concerning Christian Liberty; with Letter of Martin Luther to Pope Leo X.,,Martin Luther,60
The Ancient Irish Epic Tale Táin Bó Cúalnge,,,60
Meno,,Plato,60
David goes voyaging,,David Binney Putnam,60
Scouting for Boys,,Baron Robert Stephenson Smyth Baden-Powell Baden-Powell of Gilwell,60
Rilla of Ingleside,,L. M.  Montgomery,60
Maria,The Wrongs of Woman,Mary Wollstonecraft,60
The Prince,,Niccolò Machiavelli,60
New Atlantis,,Francis Bacon,60
Autobiography of a Yogi,,Paramahansa Yogananda,59
Discours de la méthode,,René Descartes,59
Father Goriot,,Honoré de Balzac,59
"A Biblia Sagrada, Contendo o Velho e o Novo Testamento",,,59
灵历集光,,Shangjie Song,59
All About Coffee,,William H.  Ukers,59
Philosophy and Fun of Algebra,,Mary Everest Boole,59
The gardener,,Rabindranath Tagore,59
Simple Sabotage Field Manual,,United States. Office of Strategic Services,59
Demian,,Hermann Hesse,59
Wonderful Adventures of Mrs. Seacole in Many Lands,,Mary Seacole,59
Eugene Oneguine [Onegin],,Aleksandr Sergeevich Pushkin,59
The Spanish Tragedie,,Thomas Kyd,58
The Open Boat and Other Stories,,Stephen Crane,58
Boswell's Life of Johnson,,James Boswell,58
The Moonstone,,Wilkie Collins,58
The house at Pooh Corner,,A. A.  Milne,58
The Letters of Jane Austen,,Jane Austen,58
The Institutes of Justinian,,,58
Strange Stories from a Chinese Studio,,Songling Pu,57
The Tragedy of Romeo and Juliet,,William Shakespeare,57
A Child's Garden of Verses,,Robert Louis Stevenson,57
The Odyssey,,Homer,57
The Lives and Opinions of Eminent Philosophers,,Diogenes Laertius,57
The Sketch-Book of Geoffrey Crayon,,Washington Irving,57
Heartbreak House,,Bernard Shaw,57
Alice's Adventures in Wonderland,,Lewis Carroll,57
"Unto This Last, and Other Essays on Political Economy",,John Ruskin,57
Faust: A Tragedy,,Johann Wolfgang von Goethe,57
"Nil Darpan; or, The Indigo Planting Mirror, A Drama.",,Dinabandhu Mitra,57
Divina Commedia di Dante: Inferno,,Dante Alighieri,57
The Battle of the Bays,,Owen Seaman,57
Politics: A Treatise on Government,,Aristotle,57
Wagner as Man & Artist,,Ernest Newman,57
The Joyful Wisdom,,Friedrich Wilhelm Nietzsche,57
The Ladies Delight,,Anonymous,56
The Figure in the Carpet,,Henry James,56
The Essays of Arthur Schopenhauer: the Wisdom of Life,,Arthur Schopenhauer,56
Woodworking Tools 1600-1900,,Peter C. Welsh,56
L'île mystérieuse,,Jules Verne,56
A Japanese Boy,,Shigemi Shiukichi,56
The Mill on the Floss,,George Eliot,56
"Hung Lou Meng, or, the Dream of the Red Chamber, a Chinese Novel, Book I",,Xueqin Cao,56
Pride and Prejudice,,Jane Austen,56
苦悶の欄,,Earl Derr Biggers,56
Twenty Thousand Leagues Under the Seas: An Underwater Tour of the World,,Jules Verne,56
The Rubaiyat of Omar Khayyam,,Omar Khayyam,56
Gothic Architecture,,Édouard Corroyer,56
Daddy-Long-Legs,,Jean Webster,56
Letters of Pliny,,the Younger Pliny,55
"Autobiography of Ma-ka-tai-me-she-kia-kiak, or Black Hawk",,Sauk chief Black Hawk,55
Christmas in Storyland,,,55
"The Land Beyond the Forest: Facts, Figures, and Fancies from Transylvania",,E.  Gerard,55
Plays of Sophocles: Oedipus the King; Oedipus at Colonus; Antigone,,Sophocles,55
"Great short stories, Volume 3",,,55
West African Folk-Tales,,,55
The Tale of Squirrel Nutkin,,Beatrix Potter,55
"The Danish History, Books I-IX",,Grammaticus Saxo,55
Home Geography for Primary Grades,,C. C. Long,55
Sketches New and Old,,Mark Twain,55
The Princess,,Baron Alfred Tennyson Tennyson,55
"Ragged Dick,",Street Life in New York with the Boot-Blacks,Jr. Horatio Alger,55
Dead Souls,,Nikolai Vasilevich Gogol,54
El crimen y el castigo,,Fyodor Dostoyevsky,54
Записки из подполья,,Fyodor Dostoyevsky,54
"Moby-Dick; or, The Whale",,Herman Melville,54
The Complete Poetical Works of Edgar Allan Poe,,Edgar Allan Poe,54
The Lost World,,Arthur Conan Doyle,54
The Meditations of the Emperor Marcus Aurelius Antoninus,,Emperor of Rome Marcus Aurelius,54
Principles of Political Economy,,John Stuart Mill,54
Jewish Fairy Tales and Legends,,Gertrude Landa,54
St John Damascene on Holy Images,,,54
"The Jargon File, Version 4.2.2, 20 Aug 2000",,,54
Letters of Two Brides,,Honoré de Balzac,54
The Good Soldier,,Ford Madox Ford,54
The Book of Household Management,,Mrs.  Beeton,53
The Fairy Tales of Charles Perrault,,Charles Perrault,53
Memoirs of General William T. Sherman — Complete,,William T.  Sherman,53
Old Christmas: from the Sketch Book of Washington Irving,,Washington Irving,53
The Autobiography of Benjamin Franklin,,Benjamin Franklin,53
Alcibiades I,,Plato ,53
The Raven,,Edgar Allan Poe,53
The Little Red Hen,,,53
"The Principles of Psychology, Volume 1",,William James,53
What's Wrong with the World,,G. K.  Chesterton,53
A Concise Anglo-Saxon Dictionary,,J. R. Clark  Hall,53
The Tenant of Wildfell Hall,,Anne Brontë,53
Main Street,,Sinclair Lewis,53
Latin for Beginners,,Benjamin L.  D'Ooge,53
Theaetetus,,Plato,53
"""The Kingdom of God Is Within You""",,graf Leo Tolstoy,53
The Suppression of the African Slave Trade to the United States of America,,W. E. B.  Du Bois,53
"Encyclopaedia Britannica, 11th Edition, ""Destructors"" to ""Diameter""",,Various,53
"Proverbes sur les femmes, l'amitié, l'amour et le mariage",,P.-M.  Quitard,53
Fables de La Fontaine,,Jean de La Fontaine,53
The Outline of History: Being a Plain History of Life and Mankind,,H. G.  Wells,53
Following the Equator: A Journey Around the World,,Mark Twain,52
"Rasselas, Prince of Abyssinia",,Samuel Johnson,52
Major Barbara,,Bernard Shaw,52
Orthodoxy,,G. K.  Chesterton,52
Niebla,,Miguel de Unamuno,52
La Légende des Siècles,,Victor Hugo,52
The Critique of Practical Reason,,Immanuel Kant,52
Monday or Tuesday,,Virginia Woolf,52
Mark Twain's Speeches,,Mark Twain,52
Y Gododin: A Poem of the Battle of Cattraeth,,Aneirin,52
"Journals of Dorothy Wordsworth, Vol. 1",,Dorothy Wordsworth,52
Master and Man,,graf Leo Tolstoy,52
The Man Who Would Be King,,Rudyard Kipling,52
"South: The Story of Shackleton's Last Expedition, 1914-1917",,Sir Ernest Henry Shackleton,52
Os Maias: episodios da vida romantica,,Eça de Queirós,52
The People of the Abyss,,Jack London,51
The Indolence of the Filipino,,José Rizal,51
"The Best Short Stories of 1917, and the Yearbook of the American Short Story",,,51
Духовные оды,,Gavriil Romanovich Derzhavin,51
Original Short Stories — Volume 04,,Guy de Maupassant,51
A Complete Dictionary of Synonyms and Antonyms,,Samuel Fallows,51
El libro de las tierras vírgenes,,Rudyard Kipling,51
Florante at Laura,,Francisco Balagtas,51
The Arabian Nights: Their Best-known Tales,,,51
The Birth and Babyhood of the Telephone,,Thomas Augustus Watson,51
The Gambler,,Fyodor Dostoyevsky,51
Now we are six,,A. A.  Milne,51
"The Histories of Polybius, Vol. 1",,Polybius,51
The Countess Cathleen,,W. B.  Yeats,51
Five Selected Short Stories,,D. H.  Lawrence,51
The Plymouth Express Affair,,Agatha Christie,51
A Short History of the World,,H. G.  Wells,51
Wieland,The Transformation: An American Tale,Charles Brockden Brown,50
