Titulo Principal,Titulo Secundario,Autor,N° Ref
The Science of Getting Rich,,W. D. Wattles,89
The Battle with the Slum,,Jacob A.  Riis,88
Spanish Tales for Beginners,,,88
Herland,,Charlotte Perkins Gilman,88
Kim,,Rudyard Kipling,88
The Story of My Life,,Helen Keller,87
A Hundred and Seventy Chinese Poems,,,87
Bradford's History of 'Plimoth Plantation',,William Bradford,87
The Shame of the Cities,,Lincoln Steffens,87
Lady Audley's Secret,,M. E.  Braddon,87
Peter and Wendy,,J. M.  Barrie,87
Pollyanna,,Eleanor H.  Porter,87
Vanity Fair,,William Makepeace Thackeray,87
Lamia,,John Keats,86
The Sea-Wolf,,Jack London,86
Utilitarianism,,John Stuart Mill,86
The Nibelungenlied,,,86
The Wonderful Wizard of Oz,,L. Frank  Baum,85
Emile,,Jean-Jacques Rousseau,85
Spoon River Anthology,,Edgar Lee Masters,85
The Protocols and world revolution :,,Sergiei Nilus,85
The Wind in the Willows,,Kenneth Grahame,85
Aesop's Fables,,Aesop,85
Life Is a Dream,,Pedro Calderón de la Barca,84
The Anatomy of Melancholy,,Robert Burton,84
"The Oera Linda Book, from a Manuscript of the Thirteenth Century",,,84
The Hanging Stranger,,Philip K. Dick,84
Troilus and Criseyde,,Geoffrey Chaucer,84
"Winesburg, Ohio: A Group of Tales of Ohio Small Town Life",,Sherwood Anderson,84
"Othello, the Moor of Venice",,William Shakespeare,84
The Travels of Sir John Mandeville,,Sir John Mandeville,83
"Lyrical Ballads, With a Few Other Poems",,Samuel Taylor Coleridge and William Wordsworth,1798
The World as Will and Idea,,Arthur Schopenhauer,83
Novelas Cortas,,Pedro Antonio de Alarcón,82
A Course of Pure Mathematics,,G. H.  Hardy,82
The Box-Car Children,,Gertrude Chandler Warner,82
The Story of the Volsungs,,,82
"On Heroes, Hero-Worship, and the Heroic in History",,Thomas Carlyle,82
Fundamental Principles of the Metaphysic of Morals,,Immanuel Kant,82
Anne of the Island,,L. M.  Montgomery,82
Modern Spanish Lyrics,,,82
"Apology, Crito, and Phaedo of Socrates",,Plato,81
Etiquette,,Emily Post,81
"Poems on various subjects, religious and moral",,Phillis Wheatley,81
Белые ночи,,Fyodor Dostoyevsky,81
