Titulo Principal,Titulo Secundario,Autor,N° Ref
Reflections; or Sentences and Moral Maxims,,François duc de La Rochefoucauld,78
The Wonderful Wizard of Oz,,L. Frank  Baum,78
English Literature,,William J.  Long,77
Lamia,,John Keats,77
Daemonologie.,,King of England James I,77
The Box-Car Children,,Gertrude Chandler Warner,77
Ritual of the Order of the Eastern Star,,,77
"The Canterbury Tales, and Other Poems",,Geoffrey Chaucer,77
Orthodoxy,,G. K.  Chesterton,77
Roughing It,,Mark Twain,77
El arte de amar,,Ovid,77
The Travels of Sir John Mandeville,,Sir John Mandeville,77
Theaetetus,,Plato,77
Maggie: A Girl of the Streets,,Stephen Crane,76
Discours de la méthode,,René Descartes,76
Philosophiae Naturalis Principia Mathematica,,Isaac Newton,76
Short Stories,,Fyodor Dostoyevsky,76
The Adventures of Pinocchio,,Carlo Collodi,76
"Apology, Crito, and Phaedo of Socrates",,Plato,76
Autobiography of a Yogi,,Paramahansa Yogananda,76
"Lineage, Life and Labors of José Rizal, Philippine Patriot",,Austin Craig,76
The Shame of the Cities,,Lincoln Steffens,76
The Man Who Was Thursday: A Nightmare,,G. K.  Chesterton,76
English Synonyms and Antonyms,,James Champlin Fernald,76
The World as Will and Idea,,Arthur Schopenhauer,76
Ghost Stories of an Antiquary,,M. R.  James,76
Soeur Thérèse de l'Enfant-Jésus et de la Sainte Face,,Saint de Lisieux Thérèse,75
The American Diary of a Japanese Girl,,Yoné Noguchi,75
Poems and Songs of Robert Burns,,Robert Burns,75
1811 Dictionary of the Vulgar Tongue,,Francis Grose,75
The Frontier in American History,,Frederick Jackson Turner,75
De Officiis,,Marcus Tullius Cicero,74
The Best American Humorous Short Stories,,,74
A Classification and Subject Index for Cataloguing and Arranging the Books and Pamphlets of a Librar,,,74
The Spy,,James Fenimore Cooper,74
The Princess and the Goblin,,George MacDonald,74
Memoirs of Extraordinary Popular Delusions and the Madness of Crowds,,Charles Mackay,74
The School for Scandal,,Richard Brinsley Sheridan,74
The Crucible,,Mark Lee Luther,74
An Enquiry Concerning the Principles of Morals,,David Hume,73
"The Life and Opinions of Tristram Shandy, Gentleman",,Laurence Sterne,73
"The Will to Believe, and Other Essays in Popular Philosophy",,William James,73
The Life of Lazarillo de Tormes,,Anonymous,73
The Practice and Science of Drawing,,Harold Speed,73
Pollyanna,,Eleanor H.  Porter,73
Woodworking Tools 1600-1900,,Peter C. Welsh,73
"Great short stories, Volume 3",,,73
The Smoky God,A Voyage to the Inner World,Willis George Emerson,73
Thought-Forms,,Annie Besant and C. W.  Leadbeater,73
The Kybalion,,Three Initiates,73
Meno,,Plato,73
Dracula's Guest,,Bram Stoker,73
The Imitation of Christ,,à Kempis Thomas,73
The Institutes of Justinian,,,73
Beautiful Stories from Shakespeare,,E.  Nesbit and William Shakespeare,73
Mrs. Warren's Profession,,Bernard Shaw,72
Pragmatism: A New Name for Some Old Ways of Thinking,,William James,72
French Conversation and Composition,,Harry Vincent Wann,72
Духовные оды,,Gavriil Romanovich Derzhavin,72
Strange Stories from a Chinese Studio,,Songling Pu,72
Kidnapped,,Robert Louis Stevenson,72
The Moonstone,,Wilkie Collins,72
El crimen y el castigo,,Fyodor Dostoyevsky,72
The Secret Garden,,Frances Hodgson Burnett,72
The Prince,,Niccolò Machiavelli,71
The Romance of Tristan and Iseult,,Joseph Bédier,71
The mystery of the Blue Train,,Agatha Christie,71
"Pamela, or Virtue Rewarded",,Samuel Richardson,71
Man and Superman: A Comedy and a Philosophy,,Bernard Shaw,71
The Great Boer War,,Arthur Conan Doyle,70
The Tale of Genji,,Murasaki Shikibu,70
A Princess of Mars,,Edgar Rice Burroughs,70
Grimm's Fairy Tales,,Jacob Grimm and Wilhelm Grimm,70
Poems,,Victor Hugo,70
The Pilgrim's Progress from this world to that which is to come,,John Bunyan,70
The Sayings of Confucius,,Confucius,70
Mrs. Spring Fragrance,,Sui Sin Far,70
The Will to Power: An Attempted Transvaluation of All Values. Book I and II,,Nietzsche,70
The Man in the Brown Suit,,Agatha Christie,70
Language of Flowers,,Kate Greenaway,69
Sonnets from the Portuguese,,Elizabeth Barrett Browning,69
"Great short stories, Volume 2",,,69
Dracula,,Bram Stoker,69
An Ideal Husband,,Oscar Wilde,69
Dialogues Concerning Natural Religion,,David Hume,69
Japanese Fairy Tales,,Yei Theodora Ozaki,69
Emile,,Jean-Jacques Rousseau,68
Tarzan of the Apes,,Edgar Rice Burroughs,68
The Story of My Life,,Helen Keller,68
The Pilgrim's Progress,,John Bunyan Every Child Can Read by John Bunyan,68
A Military Dictionary and Gazetteer,,Thomas Wilhelm,68
The Story of the Volsungs,,,68
The Jew of Malta,,Christopher Marlowe,68
The Gospel According to Saint John,,Saint the Apostle John,68
"The Jargon File, Version 4.2.2, 20 Aug 2000",,,68
On the Sublime,,active 1st century Longinus,67
Aeneidos,,Virgil,67
"The Bible, Douay-Rheims, Complete",,,67
A Dream within a Dream,,Edgar Allan Poe,67
On the Nature of Things,,Titus Lucretius Carus,67
Little Lucy's Wonderful Globe,,Charlotte M.  Yonge,67
Lord Jim,,Joseph Conrad,67
A Complete Dictionary of Synonyms and Antonyms,,Samuel Fallows,67
A Discourse Upon the Origin and the Foundation of the Inequality Among Mankind,,Rousseau,67
The case-book of Sherlock Holmes,,Arthur Conan Doyle,67
Tales of the Jazz Age,,F. Scott  Fitzgerald,67
The Woman in Black,,E. C.  Bentley,66
The Marching Morons,,C. M.  Kornbluth,66
Fifty Famous Stories Retold,,James Baldwin,66
Laws,,Plato,66
Daddy-Long-Legs,,Jean Webster,66
Commentary on the Epistle to the Galatians,,Martin Luther,66
Tom Brown's School Days,,Thomas Hughes,66
The Critique of Practical Reason,,Immanuel Kant,66
The Orbis Pictus,,Johann Amos Comenius,66
"Moby-Dick; or, The Whale",,Herman Melville,66
Confessions of an English Opium-Eater,,Thomas De Quincey,65
Love for Love: A Comedy,,William Congreve,65
What Is Art?,,graf Leo Tolstoy,65
The Nursery Rhymes of England,,,65
The Iliad of Homer,,Homer,65
"The Works of Edgar Allan Poe, The Raven Edition",,Edgar Allan Poe,65
The Nibelungenlied,,,65
Gargantua and Pantagruel,,François Rabelais,65
Psychology of the Unconscious,,C. G.  Jung,65
The Hanging Stranger,,Philip K. Dick,65
The Piazza Tales,,Herman Melville,65
Bradford's History of 'Plimoth Plantation',,William Bradford,65
Essais de Montaigne,,Michel de Montaigne,65
The Awakening of Spring: A Tragedy of Childhood,,Frank Wedekind,64
Cyropaedia: The Education of Cyrus,,Xenophon,64
Sons and Lovers,,D. H.  Lawrence,64
Plays,,"Anton Chekhov, Second Series by Anton Pavlovich Chekhov",64
The Essays of Arthur Schopenhauer: the Wisdom of Life,,Arthur Schopenhauer,64
Prayers of the Early Church,,,64
Villette,,Charlotte Brontë,64
The Marvelous Land of Oz,,L. Frank  Baum,64
El libro de las mil noches y una noche; t. 1,,Anonymous,64
Latin for Beginners,,Benjamin L.  D'Ooge,64
"The Oera Linda Book, from a Manuscript of the Thirteenth Century",,,64
Zero Hour,,Ray Bradbury,64
The Egyptian Book of the dead,,,64
The Battle of the Bays,,Owen Seaman,64
Fairy and Folk Tales of the Irish Peasantry,,,64
News from Nowhere,An Epoch of Rest,William Morris,64
Siddhartha: eine indische Dichtung,,Hermann Hesse,63
Kim,,Rudyard Kipling,63
"The Bet, and other stories",,Anton Pavlovich Chekhov,63
Cuentos de Amor de Locura y de Muerte,,Horacio Quiroga,63
A Concise Anglo-Saxon Dictionary,,J. R. Clark  Hall,63
The Secret Agent: A Simple Tale,,Joseph Conrad,63
Little Dorrit,,Charles Dickens,63
The Tenant of Wildfell Hall,,Anne Brontë,63
Cicero's Tusculan Disputations,,Marcus Tullius Cicero,63
Public Opinion,,Walter Lippmann,63
She Stoops to Conquer,The Mistakes of a Night: A Comedy,Oliver Goldsmith,63
Cane,,Jean Toomer,63
The House of the Seven Gables,,Nathaniel Hawthorne,63
Twenty Thousand Leagues Under the Seas: An Underwater Tour of the World,,Jules Verne,63
Der Zauberberg. Erster Band,,Thomas Mann,63
A Hundred and Seventy Chinese Poems,,,63
Life in the Iron-Mills,The Korl Woman,Rebecca Harding Davis,63
"Rasselas, Prince of Abyssinia",,Samuel Johnson,63
Le rouge et le noir: chronique du XIXe siècle,,Stendhal,63
The Art of War,,active 6th century B.C. Sunzi,63
Modern Spanish Lyrics,,,62
The Big Four,,Agatha Christie,62
Letters of Pliny,,the Younger Pliny,62
Os Maias: episodios da vida romantica,,Eça de Queirós,62
The Old Curiosity Shop,,Charles Dickens,62
The Spanish Tragedie,,Thomas Kyd,62
The Playboy of the Western World: A Comedy in Three Acts,,J. M.  Synge,62
Poems,,Rainer Maria Rilke,62
Encyclopedia of Needlework,,Thérèse de Dillmont,62
Voyage au Centre de la Terre,,Jules Verne,62
Minute Mysteries [Detectograms],,H. A.  Ripley,62
Volpone,The Fox,Ben Jonson,62
The Real Thing and Other Tales,,Henry James,62
The Works of Edgar Allan Poe — Volume 5,,Edgar Allan Poe,61
Principios e questões de philosophia politica,,António Cândido,61
The Anatomy of Melancholy,,Robert Burton,61
American Indian Stories,,Zitkala-Sa,61
The Imaginary Invalid,,Molière,61
All About Coffee,,William H.  Ukers,61
Justice,,John Galsworthy,61
Second Variety,,Philip K. Dick,61
A Complete Guide to Heraldry,,Arthur Charles Fox-Davies,61
O Pioneers!,,Willa Cather,61
The Gambler,,Fyodor Dostoyevsky,60
The Lost World,,Arthur Conan Doyle,60
Sir Gawain and the Green Knight: A Middle-English Arthurian Romance Retold in Modern Prose,,Weston,60
Zimmerblattpflanzen,,Udo Dammer,60
"Ang Liham ni Dr. Jose Rizal sa mga Kadalagahan sa Malolos, Bulakan",,José Rizal,60
Politics: A Treatise on Government,,Aristotle,60
Just—William,,Richmal Crompton,60
The Arabian Nights: Their Best-known Tales,,,60
The Practice of the Presence of God,,Brother of the Resurrection Lawrence,60
The Rubaiyat of Omar Khayyam,,Omar Khayyam,60
Sketches New and Old,,Mark Twain,60
Plutarch's Morals,,Plutarch,60
A General History of the Pyrates:,,Daniel Defoe,60
The Origin of Species,,Means of Natural Selection by Charles Darwin,60
American Notes,,Charles Dickens,59
Flatland: A Romance of Many Dimensions,,Edwin Abbott Abbott,59
"Plunkitt of Tammany Hall: a series of very plain talks on very practical politics, delivered",,ex-S,59
The Colors of Space,,Marion Zimmer Bradley,59
The Meditations of the Emperor Marcus Aurelius Antoninus,,Emperor of Rome Marcus Aurelius,59
Tamburlaine the Great — Part 1,,Christopher Marlowe,59
"Hesiod, the Homeric Hymns, and Homerica",,Hesiod,59
Lays of Ancient Rome,,Baron Thomas Babington Macaulay Macaulay,59
Essays of Schopenhauer,,Arthur Schopenhauer,59
Grimm's Fairy Stories,,Jacob Grimm and Wilhelm Grimm,59
The American Occupation of the Philippines 1898-1912,,James H.  Blount,59
The Man Who Would Be King,,Rudyard Kipling,59
Faust: Der Tragödie erster Teil,,Johann Wolfgang von Goethe,58
Heath's Modern Language Series: The Spanish American Reader,,Ernesto Nelson,58
"Proverbes sur les femmes, l'amitié, l'amour et le mariage",,P.-M.  Quitard,58
Walking,,Henry David Thoreau,58
Four Arthurian Romances,,active 12th century de Troyes Chrétien,58
Kant's Critique of Judgement,,Immanuel Kant,58
"Napoleon's Letters to Josephine, 1796-1812",,Emperor of the French Napoleon I,58
Hamlet,,William Shakespeare,58
"The Tinguian: Social, Religious, and Economic Life of a Philippine Tribe",,Fay-Cooper Cole,58
New Atlantis,,Francis Bacon,58
The Oldest Code of Laws in the World,,King of Babylonia Hammurabi,58
The Apostolic Tradition of Hippolytus,,Antipope Hippolytus,58
The Germany and the Agricola of Tacitus,,Cornelius Tacitus,58
Howards End,,E. M.  Forster,58
Submerged forests,,Clement Reid,58
Plutarch: Lives of the noble Grecians and Romans,,Plutarch,58
English Fairy Tales,,,57
Lucian's True History,,of Samosata Lucian,57
The 1990 CIA World Factbook,,United States. Central Intelligence Agency,57
Now we are six,,A. A.  Milne,57
The United States Constitution,,United States,57
The Science of Getting Rich,,W. D. Wattles,57
The Willows,,Algernon Blackwood,57
Songs of Innocence and of Experience,,William Blake,57
"The Essays or Counsels, Civil and Moral",,Francis Bacon,57
Considerations on Representative Government,,John Stuart Mill,57
El libro de las tierras vírgenes,,Rudyard Kipling,57
Master and Man,,graf Leo Tolstoy,57
An Advanced English Grammar with Exercises,,Frank Edgar Farley and George Lyman Kittredge,57
I. Beowulf: an Anglo-Saxon poem. II. The fight at Finnsburh: a fragment.,,,56
Scouting for Boys,,Baron Robert Stephenson Smyth Baden-Powell Baden-Powell of Gilwell,56
Folk-Tales of Bengal,,Lal Behari Day,56
The Burgess Bird Book for Children,,Thornton W.  Burgess,56
A General Introduction to Psychoanalysis,,Sigmund Freud,56
Charlotte Temple,,Mrs. Rowson,56
"The Principles of Psychology, Volume 1",,William James,56
"The Writings of Thomas Paine, Complete",,Thomas Paine,56
The Rime of the Ancient Mariner,,Samuel Taylor Coleridge,56
Plays of Sophocles: Oedipus the King; Oedipus at Colonus; Antigone,,Sophocles,56
The Blithedale Romance,,Nathaniel Hawthorne,56
Marmion: A Tale Of Flodden Field,,Walter Scott,56
The Pickwick Papers,,Charles Dickens,56
Principles of Political Economy,,John Stuart Mill,55
The New Life,,Dante Alighieri,55
The Gentlemen's Book of Etiquette and Manual of Politeness,,Cecil B. Hartley,55
Simple Sabotage Field Manual,,United States. Office of Strategic Services,55
Random Reminiscences of Men and Events,,John D.  Rockefeller,55
The Birds,,Aristophanes,55
The First Six Books of the Elements of Euclid,,John Casey and Euclid,55
"Encyclopaedia Britannica, 11th Edition, ""Destructors"" to ""Diameter""",,Various,55
The Varieties of Religious Experience: A Study in Human Nature,,William James,55
The Essays of Arthur Schopenhauer; Counsels and Maxims,,Arthur Schopenhauer,55
The Book of Household Management,,Mrs.  Beeton,55
"Ars Amatoria; or, The Art Of Love",,Ovid,55
A Tramp Abroad,,Mark Twain,55
Nathan the Wise; a dramatic poem in five acts,,Gotthold Ephraim Lessing,55
"Obras Completas de Luis de Camões, Tomo II",,Luís de Camões,54
The Kādambarī of Bāṇa,,Bāṇa‏ and Bhūṣaṇabhaṭṭa,54
The Narrative of Arthur Gordon Pym of Nantucket,,Edgar Allan Poe,54
Discourses on the First Decade of Titus Livius,,Niccolò Machiavelli,54
Белые ночи,,Fyodor Dostoyevsky,54
"Legends, Tales and Poems",,Gustavo Adolfo Bécquer,54
Platero y yo,,Juan Ramón Jiménez,54
"Current History, Vol. VIII, No. 3, June 1918",,Various,54
The Burgess Animal Book for Children,,Thornton W.  Burgess,54
The Autobiography of Benjamin Franklin,,Benjamin Franklin,54
The Condition of the Working-Class in England in 1844,,Friedrich Engels,54
"The History of Mary Prince, a West Indian Slave",,Mary Prince,54
"The Story of Little Black Sambo, and The Story of Little Black Mingo",,Helen Bannerman,54
Alice's Adventures in Wonderland,,Lewis Carroll,54
Palmistry for All,,Cheiro,54
The Tale of Tom Kitten,,Beatrix Potter,54
The house at Pooh Corner,,A. A.  Milne,54
The Essays of Arthur Schopenhauer; Studies in Pessimism,,Arthur Schopenhauer,54
Brown Wolf and Other Jack London Stories,,Jack London,54
What's Wrong with the World,,G. K.  Chesterton,54
"The Histories of Polybius, Vol. 2",,Polybius,54
Demian: Die Geschichte von Emil Sinclairs Jugend,,Hermann Hesse,54
Mary Barton,,Elizabeth Cleghorn Gaskell,54
"The System of Nature, or, the Laws of the Moral and Physical World. Volume 1",,Holbach,54
English-Esperanto Dictionary,,C. F.  Hayes and J. C.  O'Connor,54
King Solomon's Mines,,H. Rider  Haggard,54
Old Christmas: from the Sketch Book of Washington Irving,,Washington Irving,54
"Tales of King Arthur and the Round Table, Adapted from the Book of Romance",,,54
"Ragged Dick,",Street Life in New York with the Boot-Blacks,Jr. Horatio Alger,53
"Fables of La Fontaine — a New Edition, with Notes",,Jean de La Fontaine,53
"The Door in the Wall, and Other Stories",,H. G.  Wells,53
"McGuffey's First Eclectic Reader, Revised Edition",,William Holmes McGuffey,53
Northern Nut Growers Association Report of the Proceedings at the 44th Annual Meeting,,,53
Moby Dick,,Dick by Herman Melville,53
The Secret of Chimneys,,Agatha Christie,53
Æsop's Fables: A Version for Young Readers,,Aesop and J. H.  Stickney,53
"How to study ""The best short stories"" :",,Blanche Colton Williams,53
Sartor Resartus: The Life and Opinions of Herr Teufelsdröckh,,Thomas Carlyle,53
A Japanese Boy,,Shigemi Shiukichi,53
The Works of Horace,,Horace,53
"The City of God, Volume II",,Bishop of Hippo Saint Augustine,53
The Little White Bird,Adventures in Kensington Gardens,J. M.  Barrie,53
Men without women,,Ernest Hemingway,53
The gardener,,Rabindranath Tagore,53
Mark Twain's Speeches,,Mark Twain,53
Jewish Fairy Tales and Legends,,Gertrude Landa,53
The Moon and Sixpence,,W. Somerset  Maugham,53
The Suppression of the African Slave Trade to the United States of America,,W. E. B.  Du Bois,53
"The Forsyte Saga, Volume I.",,John Galsworthy,53
Outline of the history of the English language and literature,,Anonymous,53
The Mabinogion,,,52
Kwaidan: Stories and Studies of Strange Things,,Lafcadio Hearn,52
"The Works of the Right Honourable Edmund Burke, Vol. 01",,Edmund Burke,52
Memoirs of General William T. Sherman — Complete,,William T.  Sherman,52
The Little Red Hen,,,52
The Wonders of the Invisible World,,Cotton Mather and Increase Mather,52
"Mary Queen of Scots, 1542-1587",,,52
The Outline of History: Being a Plain History of Life and Mankind,,H. G.  Wells,52
The Analects of Confucius,,Confucius,52
Letters on England,,Voltaire,52
"The Vision and Creed of Piers Ploughman, Volume 1",,William Langland,52
Intentions,,Oscar Wilde,52
Little Lord Fauntleroy,,Frances Hodgson Burnett,52
Gitanjali,,Rabindranath Tagore,52
A Prose English Translation of Harivamsha,,,52
Y Gododin: A Poem of the Battle of Cattraeth,,Aneirin,52
Every Man in His Humor,,Ben Jonson,52
Japanese Girls and Women,,Alice Mabel Bacon,52
The slang dictionary :,,John Camden Hotten,52
The Hairy Ape,,Eugene O'Neill,52
Checklist,,,52
Germinal,,Émile Zola,52
The Secret Adversary,,Agatha Christie,52
Give Me Liberty or Give Me Death,,Patrick Henry,52
"""The Kingdom of God Is Within You""",,graf Leo Tolstoy,51
"The Queen of Spades, and other stories",,Aleksandr Sergeevich Pushkin,51
"Letters to His Son, Complete",,Earl of Philip Dormer Stanhope Chesterfield,51
Jennie Gerhardt: A Novel,,Theodore Dreiser,51
